attack_id,features
470,"central_attack,through_ball"
471,"through_ball,central_attack"
472,"central_attack,through_ball"
473,"fast_break,goal"
474,"central_attack,through_ball"
475,"central_attack,through_ball,fast_break"
476,"central_attack,through_ball"
477,"central_attack,through_ball"
478,"central_attack,through_ball"
479,"central_attack,through_ball"
480,"through_ball,central_attack"
481,"central_attack,through_ball"
482,"central_attack,through_ball"
483,"central_attack,through_ball"
484,"through_ball,fast_break"
485,"central_attack,through_ball"
486,"central_attack,through_ball"
487,"central_attack,through_ball"
488,"central_attack,through_ball,goal"
489,"through_ball,fast_break"
490,"central_attack,through_ball"
491,"central_attack,through_ball"
492,"through_ball,fast_break"
493,"through_ball,fast_break"
494,"central_attack,through_ball"
495,"central_attack,through_ball,fast_break"
496,"central_attack,through_ball"
497,"central_attack,through_ball"
498,"central_attack,through_ball"
499,"central_attack,through_ball"
500,"central_attack,through_ball"
501,"central_attack,through_ball,goal"
502,"inside_box_shot,central_attack,through_ball,goal"
503,"central_attack,through_ball,fast_break"
504,"central_attack,through_ball"
505,"central_attack,through_ball"
506,"central_attack,through_ball"
507,"central_attack,through_ball"
508,"inside_box_shot,central_attack,through_ball,goal"
509,"central_attack,through_ball"
510,"central_attack,through_ball"
511,"central_attack,through_ball"
512,"through_ball,central_attack"
513,"central_attack,through_ball"
514,"central_attack,through_ball"
515,"through_ball,fast_break"
516,"central_attack,through_ball"
517,"central_attack,through_ball"
518,"central_attack,through_ball"
519,"inside_box_shot,central_attack,through_ball,goal"
520,"through_ball,fast_break"
521,"central_attack,through_ball"
522,"central_attack,through_ball"
523,"central_attack,through_ball"
524,"central_attack,through_ball"
525,"central_attack,through_ball"
526,"through_ball,fast_break"
527,"central_attack,through_ball"
528,"central_attack,through_ball"
529,"central_attack,through_ball"
530,"central_attack,through_ball"
531,"central_attack,through_ball"
532,"central_attack,through_ball"
533,"through_ball,central_attack"
534,"central_attack,through_ball"
535,"central_attack,through_ball"
536,"central_attack,through_ball"
537,"through_ball,central_attack"
538,"central_attack,through_ball"
539,"through_ball,fast_break"
540,"central_attack,through_ball"
541,"central_attack,through_ball"
542,"central_attack,through_ball"
543,"central_attack,through_ball"
544,"central_attack,through_ball"
545,"inside_box_shot,central_attack,through_ball,goal"
546,"central_attack,through_ball"
547,"central_attack,through_ball"
548,"central_attack,through_ball"
549,"through_ball,fast_break"
550,"central_attack,through_ball"
551,"central_attack,through_ball"
552,"central_attack,through_ball"
553,"central_attack,through_ball"
554,"central_attack,through_ball"
555,"central_attack,through_ball"
556,"central_attack,through_ball"
557,"central_attack,through_ball,fast_break"
558,"central_attack,through_ball"
559,"through_ball,fast_break"
560,"central_attack,through_ball"
561,"central_attack,through_ball"
562,"central_attack,through_ball"
563,"central_attack,through_ball"
564,"central_attack,through_ball"
565,"central_attack,fast_break"
566,"inside_box_shot,central_attack,goal"
567,"central_attack,fast_break"
568,"central_attack,goal"
569,"inside_box_shot,central_attack,goal"
570,"central_attack,fast_break"
571,"inside_box_shot,central_attack,goal"
572,"inside_box_shot,central_attack,goal"
573,"central_attack,goal"
574,"inside_box_shot,central_attack,goal"
575,"central_attack,through_ball"
576,"central_attack,through_ball"
577,"central_attack,through_ball"
578,"central_attack,through_ball"
579,"central_attack,through_ball"
580,"central_attack,through_ball"
581,"central_attack,through_ball"
582,"through_ball,central_attack"
583,"central_attack,through_ball"
584,"central_attack,through_ball"
585,"central_attack,through_ball"
586,"central_attack,through_ball"
587,"central_attack,through_ball"
588,"central_attack,through_ball"
589,"central_attack,through_ball"
590,"through_ball,fast_break"
591,"inside_box_shot,central_attack,through_ball,goal"
