attack_id,features
486,"central_attack,through_ball,fast_break"
487,"central_attack,through_ball,goal"
488,"central_attack,fast_break"
489,"through_ball,central_attack,goal"
490,"central_attack,through_ball"
491,"inside_box_shot,through_ball,fast_break,goal"
492,"central_attack,fast_break"
493,"inside_box_shot,central_attack,fast_break,goal"
494,"central_attack,fast_break"
495,"central_attack,through_ball"
496,"central_attack,through_ball"
497,"inside_box_shot,central_attack,through_ball,goal"
498,"central_attack,through_ball"
499,"inside_box_shot,central_attack,through_ball,goal"
500,"through_ball,central_attack,fast_break"
501,"central_attack,through_ball"
502,"inside_box_shot,central_attack,through_ball,goal"
503,"central_attack,through_ball"
504,"central_attack,through_ball"
505,"central_attack,through_ball"
506,"through_ball,central_attack"
507,"central_attack,through_ball"
508,"central_attack,through_ball"
509,"inside_box_shot,central_attack,through_ball,goal"
510,"central_attack,through_ball"
511,"central_attack,through_ball,fast_break"
512,"central_attack,through_ball"
513,"central_attack,fast_break,goal"
514,"central_attack,through_ball,fast_break"
515,"central_attack,through_ball"
516,"central_attack,through_ball"
517,"central_attack,fast_break,goal"
518,"central_attack,through_ball"
519,"central_attack,through_ball"
520,"central_attack,through_ball"
521,"inside_box_shot,central_attack,through_ball,goal"
522,"central_attack,fast_break"
523,"central_attack,goal"
524,"inside_box_shot,central_attack,fast_break,goal"
525,"central_attack,fast_break"
526,"inside_box_shot,central_attack,goal"
527,"central_attack,fast_break"
528,"central_attack,fast_break"
529,"inside_box_shot,central_attack,goal"
530,"inside_box_shot,central_attack,goal"
531,"inside_box_shot,central_attack,goal"
532,"central_attack,fast_break"
533,"central_attack,goal"
534,"central_attack,goal"
535,"inside_box_shot,central_attack,fast_break,goal"
536,"central_attack,fast_break"
537,"central_attack,goal"
538,"central_attack,goal"
539,"central_attack,fast_break"
540,"central_attack,fast_break"
541,"central_attack,fast_break"
542,"central_attack,through_ball,fast_break"
543,"central_attack,through_ball"
544,"central_attack,through_ball"
545,"central_attack,fast_break"
546,"central_attack,fast_break"
547,"central_attack,through_ball"
548,"central_attack,fast_break,goal"
549,"central_attack,through_ball"
550,"through_ball,central_attack"
551,"central_attack,through_ball"
552,"central_attack,through_ball"
553,"central_attack,through_ball"
554,"central_attack,through_ball"
555,"central_attack,through_ball"
556,"central_attack,through_ball"
557,"central_attack,through_ball,goal"
558,"central_attack,through_ball"
559,"central_attack,through_ball,fast_break"
560,"central_attack,through_ball"
561,"central_attack,through_ball"
562,"central_attack,through_ball"
563,"central_attack,through_ball,goal"
564,"inside_box_shot,central_attack,through_ball,goal"
565,"central_attack,through_ball"
566,"central_attack,through_ball"
567,"central_attack,through_ball"
568,"central_attack,fast_break"
569,"central_attack,through_ball"
570,"central_attack,through_ball"
571,"central_attack,through_ball"
572,"central_attack,through_ball"
573,"central_attack,fast_break,goal"
574,"inside_box_shot,central_attack,through_ball,goal"
575,"central_attack,through_ball,fast_break"
576,"central_attack,through_ball"
577,"inside_box_shot,central_attack,through_ball,goal"
578,"central_attack,through_ball,goal"
579,"inside_box_shot,central_attack,through_ball,goal"
580,"central_attack,through_ball"
581,"through_ball,central_attack"
582,"central_attack,through_ball"
583,"through_ball,central_attack"
584,"central_attack,through_ball"
585,"central_attack,through_ball"
586,"central_attack,through_ball"
587,"central_attack,through_ball"
588,"central_attack,through_ball,fast_break"
589,"central_attack,through_ball"
590,"central_attack,through_ball,inside_box_shot,fast_break,goal"
591,"central_attack,through_ball"
592,"central_attack,through_ball,fast_break"
593,"through_ball,central_attack"
594,"central_attack,through_ball,goal"
